keyword,volume_us,cpc_usd,competition,intent_code,source,fecha,nota
towing fredericksburg tx,20,2.07,0.34,,semrush phrase_these us,2026-09-23,local
tow truck fredericksburg tx,20,2.16,0.70,,semrush phrase_these us,2026-09-23,local
fredericksburg towing,20,3.69,0.59,,semrush phrase_these us,2026-09-23,local (colisiona con Fredericksburg VA)
towing service fredericksburg tx,20,0,0.26,,semrush phrase_these us,2026-09-23,local
tow truck fredericksburg,70,3.65,0.65,,semrush phrase_fullsearch us,2026-09-23,mezcla TX/VA
towing kerrville tx,20,3.47,0.76,,semrush phrase_these us,2026-09-23,local
kerrville towing,20,3.23,0.76,,semrush phrase_these us,2026-09-23,local
tow truck kerrville tx,20,3.50,0.33,,semrush phrase_fullsearch us,2026-09-23,local
towing kerrville,10,3.88,0.41,,semrush phrase_fullsearch us,2026-09-23,local
towing service kerrville tx,20,0,0.36,,semrush phrase_fullsearch us,2026-09-23,local
wrecker service kerrville tx,20,2.00,0,,semrush phrase_these us,2026-09-23,local
towing boerne tx,20,2.51,0.63,,semrush phrase_these us,2026-09-23,local
tow truck boerne tx,20,0,0.40,,semrush phrase_these us,2026-09-23,local
boerne towing,10,2.44,0.63,,semrush phrase_these us,2026-09-23,local
towing johnson city,70,2.05,0.38,0,semrush phrase_these us,2026-09-23,mezcla TX/TN
towing near me,110000,3.46,0.63,3,semrush phrase_these us,2026-09-23,nacional
tow truck near me,135000,3.96,0.70,3,semrush phrase_these us,2026-09-23,nacional
towing service near me,27100,3.46,0.64,3,semrush phrase_these us,2026-09-23,nacional
towing company near me,40500,3.36,0.68,3,semrush phrase_these us,2026-09-23,nacional
tow truck company near me,8100,3.67,0.72,3,semrush phrase_these us,2026-09-23,nacional
tow service near me,14800,3.46,0.64,3,semrush phrase_these us,2026-09-23,nacional
car towing near me,8100,3.43,0.72,3,semrush phrase_these us,2026-09-23,nacional
wrecker service near me,12100,3.23,0.65,3,semrush phrase_these us,2026-09-23,nacional
24 hour towing near me,2900,3.14,0.65,3,semrush phrase_these us,2026-09-23,nacional
24 hour tow truck,590,3.75,0.69,0,semrush phrase_these us,2026-09-23,nacional
emergency towing,1900,3.90,0.36,3,semrush phrase_these us,2026-09-23,nacional
flatbed towing near me,720,3.45,0.50,3,semrush phrase_these us,2026-09-23,nacional
flatbed tow truck near me,320,3.72,0.65,3,semrush phrase_these us,2026-09-23,nacional
cheap towing near me,14800,3.12,0.72,3,semrush phrase_these us,2026-09-23,nacional; atrae buscador de precio
car towing service,2400,3.92,0.55,0,semrush phrase_these us,2026-09-23,nacional
tow truck,60500,3.51,0.52,0,semrush phrase_these us,2026-09-23,nacional; genérico
towing company,14800,3.34,0.49,0,semrush phrase_these us,2026-09-23,nacional; genérico
towing services,12100,3.73,0.35,0,semrush phrase_these us,2026-09-23,nacional; genérico
accident towing,880,8.50,0.05,0,semrush phrase_these us,2026-09-23,nacional; CPC alto
long distance towing,2400,5.46,0.64,0,semrush phrase_these us,2026-09-23,SERP pagada = brokers de auto transport
long distance car towing,260,6.03,0.80,0,semrush phrase_these us,2026-09-23,nacional
car transport long distance,10,6.91,0.57,,semrush phrase_these us,2026-09-23,auto transport
enclosed car transport,2400,7.82,0.56,1,semrush phrase_these us,2026-09-23,auto transport (no towing)
exotic car towing,320,2.56,0.13,0,semrush phrase_these us,2026-09-23,baja competencia
medium duty towing,390,3.81,0.09,0,semrush phrase_these us,2026-09-23,baja competencia
heavy duty towing near me,1900,7.37,0.35,3,semrush phrase_these us,2026-09-23,fuera de alcance (cliente light/medium)
semi truck towing near me,1300,7.04,0.58,3,semrush phrase_these us,2026-09-23,fuera de alcance
rv towing near me,1000,4.23,0.67,3,semrush phrase_these us,2026-09-23,PENDIENTE si el cliente remolca RV
motorcycle towing near me,1900,2.49,0.69,3,semrush phrase_these us,2026-09-23,PENDIENTE si lo hace
roadside assistance near me,33100,3.38,0.78,3,semrush phrase_these us,2026-09-23,nacional
roadside assistance,450000,3.76,0.30,0,semrush phrase_these us,2026-09-23,genérico (AAA/seguros)
jump start near me,1300,2.66,0.80,3,semrush phrase_these us,2026-09-23,ticket bajo
car lockout service near me,1600,3.99,0.49,3,semrush phrase_these us,2026-09-23,compite con cerrajeros
lockout service near me,880,4.69,0.31,3,semrush phrase_these us,2026-09-23,compite con cerrajeros
car lockout,1900,4.48,0.60,1,semrush phrase_these us,2026-09-23,compite con cerrajeros
flat tire change near me,320,3.10,0.83,3,semrush phrase_these us,2026-09-23,ticket bajo
tire change service near me,2900,2.97,0.82,3,semrush phrase_these us,2026-09-23,mezcla con talleres
fuel delivery near me,2900,7.88,0.59,3,semrush phrase_these us,2026-09-23,CPC alto; ticket bajo
winch out service near me,140,2.10,0.52,3,semrush phrase_these us,2026-09-23,relevante en Hill Country
towing cost per mile,1000,2.48,0.29,1,semrush phrase_these us,2026-09-23,informacional
how much does a tow cost,1300,2.35,0.28,1,semrush phrase_these us,2026-09-23,informacional
towing san antonio,720,2.73,0.79,0,semrush phrase_these us,2026-09-23,fuera de radio
tow truck san antonio,720,3.14,0.80,0,semrush phrase_these us,2026-09-23,fuera de radio
tic tac towing,170,2.01,0.11,0,semrush phrase_these us,2026-09-23,marca competidor - NO pujar
douglas towing,140,1.81,0.19,0,semrush phrase_these us,2026-09-23,marca competidor - NO pujar
douglas towing fredericksburg tx,20,2.43,0.14,,semrush phrase_fullsearch us,2026-09-23,marca competidor - NO pujar
midway wrecker,110,1.55,0.07,2,semrush phrase_these us,2026-09-23,marca competidor - NO pujar
mr wrecker kerrville,20,2.47,0.09,,semrush phrase_these us,2026-09-23,marca competidor - NO pujar
integrity towing kerrville texas,20,2.44,0.46,,semrush phrase_fullsearch us,2026-09-23,marca competidor - NO pujar
towing fredericksburg va,140,2.96,0.65,,semrush phrase_fullsearch us,2026-09-23,VIRGINIA - negativa
shanks towing fredericksburg va,320,1.39,0.21,,semrush phrase_fullsearch us,2026-09-23,VIRGINIA - negativa
fredericksburg to culpeper transportation towing,720,0,0,,semrush phrase_fullsearch us,2026-09-23,VIRGINIA - negativa
