# fuente: Windsor.ai google_ads (geo_target_city), cuenta 213-019-5545, 2026-09-18 a 2026-09-23. Suma = $165.57 (100%).
city,state,spend,impressions,clicks,conversions
Fair Oaks Ranch,Texas,58.08,30,5,0
Kerrville,Texas,29.48,6,2,0
Bandera,Texas,15.15,1,1,0
Kingsland,Texas,12.61,7,1,0
Blanco,Texas,11.84,8,1,0
Comfort,Texas,11.74,5,1,0
Fredericksburg,Texas,11.43,10,1,0
Llano,Texas,7.88,2,1,0
Granite Shoals,Texas,7.36,3,1,0
Bulverde,Texas,0,1,0,0
Center Point,Texas,0,1,0,0
Spring Branch,Texas,0,2,0,0
Ingram,Texas,0,1,0,0
Johnson City,Texas,0,2,0,0
Wimberley,Texas,0,1,0,0
Canyon Lake,Texas,0,2,0,0
