# fuente: Windsor.ai google_ads, cuenta 213-019-5545, 2026-09-18 a 2026-09-23. Ad group unico: "Ad group 1"
ad_group,keyword,match_type,status,spend,impressions,clicks,conversions
Ad group 1,towing near me,BROAD,ENABLED,75.68,29,7,0
Ad group 1,towing company near me,BROAD,ENABLED,27.76,24,2,0
Ad group 1,wrecker service near me,BROAD,ENABLED,21.70,7,2,0
Ad group 1,tow truck near me,BROAD,ENABLED,17.84,5,1,0
Ad group 1,roadside service near me,BROAD,ENABLED,11.74,1,1,0
Ad group 1,roadside assistance,BROAD,ENABLED,10.85,14,1,0
Ad group 1,emergency roadside,BROAD,ENABLED,0,1,0,0
Ad group 1,roadside assistance near me,BROAD,ENABLED,0,1,0,0
Ad group 1,towing car,BROAD,ENABLED,0,1,0,0
Ad group 1,tow a car,BROAD,ENABLED,0,2,0,0
