keyword,volumen_us,cpc_est,intencion,servicio,ciudad,match_sugerido,ad_group,fuente,nota
tow truck near me,135000,3.96,comercial,light-medium towing,radio 40mi,exacta+frase,AG1 Towing,semrush us 2026-09-23,
towing near me,110000,3.46,comercial,light-medium towing,radio 40mi,exacta+frase,AG1 Towing,semrush us 2026-09-23,
towing company near me,40500,3.36,comercial,light-medium towing,radio 40mi,exacta+frase,AG1 Towing,semrush us 2026-09-23,
towing service near me,27100,3.46,comercial,light-medium towing,radio 40mi,frase,AG1 Towing,semrush us 2026-09-23,
tow service near me,14800,3.46,comercial,light-medium towing,radio 40mi,frase,AG1 Towing,semrush us 2026-09-23,
tow truck company near me,8100,3.67,comercial,light-medium towing,radio 40mi,frase,AG1 Towing,semrush us 2026-09-23,
car towing near me,8100,3.43,comercial,light-medium towing,radio 40mi,frase,AG1 Towing,semrush us 2026-09-23,
tow trucks near me,,,comercial,light-medium towing,radio 40mi,frase,AG1 Towing,benchmark MCC,
car towing service,2400,3.92,comercial,light-medium towing,radio 40mi,frase,AG1 Towing,semrush us 2026-09-23,
tow truck service,,,comercial,light-medium towing,radio 40mi,frase,AG1 Towing,benchmark MCC,
tow my car,,,comercial,light-medium towing,radio 40mi,frase,AG1 Towing,benchmark MCC,
wrecker service near me,12100,3.23,comercial,light-medium towing,radio 40mi,exacta+frase,AG1 Towing,semrush us 2026-09-23,
wreckers near me,,,comercial,light-medium towing,radio 40mi,frase,AG1 Towing,search term cuenta 18-23/09,
wrecker service,,,comercial,light-medium towing,radio 40mi,frase,AG1 Towing,search term cuenta 18-23/09,
wrecker near me,,,comercial,light-medium towing,radio 40mi,frase,AG1 Towing,search term cuenta 18-23/09,
24 hour towing near me,2900,3.14,comercial urgencia,light-medium towing,radio 40mi,exacta+frase,AG1 Towing,semrush us 2026-09-23,
emergency towing,1900,3.9,comercial urgencia,light-medium towing,radio 40mi,frase,AG1 Towing,semrush us 2026-09-23,
24 hour tow truck,590,3.75,comercial urgencia,light-medium towing,radio 40mi,frase,AG1 Towing,semrush us 2026-09-23,
24 hour towing,,,comercial urgencia,light-medium towing,radio 40mi,frase,AG1 Towing,variante,
emergency tow truck,,,comercial urgencia,light-medium towing,radio 40mi,frase,AG1 Towing,variante,
towing open now,,,comercial urgencia,light-medium towing,radio 40mi,frase,AG1 Towing,variante,
