tipo,keyword_o_dominio,volumen_us,cpc_usd,competencia,fuente,nota
keyword,transmission repair jacksonville fl,210,2.27,0.60,semrush phrase_these,
keyword,transmission repair jacksonville,140,2.24,0.42,semrush phrase_these,
keyword,transmission shops in jacksonville,140,2.22,0.74,semrush phrase_these,
keyword,transmission shop jacksonville,90,2.22,0.74,semrush phrase_these,
keyword,auto repair jacksonville,480,2.80,0.51,semrush phrase_these,
keyword,auto repair jacksonville fl,390,2.80,0.51,semrush phrase_these,
keyword,car repair jacksonville fl,480,2.78,0.40,semrush phrase_these,
keyword,mechanic jacksonville fl,320,3.30,0.69,semrush phrase_these,
keyword,brake repair jacksonville fl,170,3.80,0.64,semrush phrase_these,
keyword,engine repair jacksonville fl,40,2.78,0.70,semrush phrase_these,
keyword,check engine light jacksonville,90,0,0,semrush phrase_these,
keyword,clutch repair jacksonville,50,0,0,semrush phrase_these,
keyword,car ac repair jacksonville,10,3.28,0.65,semrush phrase_these,
keyword,alternator repair jacksonville fl,20,2.38,0.74,semrush phrase_these,
keyword,oil change jacksonville fl,880,4.14,0.89,semrush phrase_these,cadenas dominan
keyword,aamco jacksonville,70,3.13,0.36,semrush phrase_these,
keyword,aamco 103rd,90,3.76,0.09,semrush phrase_these,
keyword,transmission repair near me (nacional),18100,3.10,0.65,semrush phrase_these,
keyword,transmission shop near me (nacional),74000,3.20,0.75,semrush phrase_these,
keyword,mechanic near me (nacional),673000,2.80,0.71,semrush phrase_these,
keyword,auto repair near me (nacional),301000,2.95,0.60,semrush phrase_these,
keyword,transmission slipping (nacional),4400,1.68,0.13,semrush phrase_these,sintoma
keyword,transmission replacement cost (nacional),6600,2.83,0.14,semrush phrase_these,informacional/precio
dominio,bigchieftires.com,,,,google ads auction insights 90d,cadena llantas
dominio,jjautoservice.com,,,,google ads auction insights 90d,independiente
dominio,midas.com,,,,google ads auction insights 90d,cadena
dominio,tiresplus.com,,,,google ads auction insights 90d,cadena
dominio,amazon.com,,,,google ads auction insights 90d,irrelevante
dominio,mavis.com,,,,google ads auction insights 90d,cadena
dominio,take5.com,,,,google ads auction insights 90d,cadena oil change
dominio,irishmikesautomotive.com,,,,google ads auction insights 90d,independiente
dominio,pepboys.com,,,,google ads auction insights 90d,cadena
dominio,smithmobilemechanics.com,,,,google ads auction insights 90d,mecanico movil
dominio,everythingautorepair.com,,,,google ads auction insights 90d,independiente
dominio,firestonecompleteautocare.com,,,,google ads auction insights 90d,cadena
dominio,meineke.com,,,,google ads auction insights 90d,cadena
dominio,hananiasubaru.com,,,,google ads auction insights 90d,concesionario
dominio,tireoutlet.com,,,,google ads auction insights 90d,cadena llantas
dominio,cogginnissanatlantic.com,,,,google ads auction insights 90d,concesionario
dominio,apexautomotive.com,,,,google ads auction insights 90d,independiente
dominio,legacyautomotive.net,,,,google ads auction insights 90d,independiente
dominio,cottmanofeastjacksonville.com,,,,google ads auction insights 90d,franquicia transmisiones
dominio,duvalford.com,,,,google ads auction insights 90d,concesionario
dominio,coggintoyota.com,,,,google ads auction insights 90d,concesionario
dominio,shifterstransmission.com,,,,google ads auction insights 90d,transmisiones independiente
