keyword,vol_us_o_ciudad,vol_est_radio_mes,cpc_est,intencion,servicio,ad_group,geo,match_sugerido,metodo_estimacion
transmission repair,110000,66,3.46,comercial,transmision,A Transmission Repair,radio 5mi,frase,semrush us nacional x0.06%
transmission shop,18100,11,3.53,comercial,transmision,A Transmission Repair,radio 5mi,frase,semrush us nacional x0.06%
transmission repair near me,18100,11,3.1,comercial,transmision,A Transmission Repair,radio 5mi,exacta+frase,semrush us nacional x0.06%
transmission shop near me,74000,44,3.2,comercial,transmision,A Transmission Repair,radio 5mi,exacta+frase,semrush us nacional x0.06%
transmission diagnostic near me,390,0,2.74,comercial,transmision,A Transmission Repair,radio 5mi,frase,semrush us nacional x0.06%
transmission slipping,4400,3,1.68,comercial (sintoma),transmision,A Transmission Repair,radio 5mi,frase,semrush us nacional x0.06%
car won't go in reverse,390,0,2.27,comercial (sintoma),transmision,A Transmission Repair,radio 5mi,frase,semrush us nacional x0.06%
car won't go into gear,170,0,1.35,comercial (sintoma),transmision,A Transmission Repair,radio 5mi,frase,semrush us nacional x0.06%
transmission leaking fluid,880,1,1.59,comercial (sintoma),transmision,A Transmission Repair,radio 5mi,frase,semrush us nacional x0.06%
transmission noise,320,0,0,comercial (sintoma),transmision,A Transmission Repair,radio 5mi,frase,semrush us nacional x0.06%
transmission rebuild,5400,3,2.55,comercial,transmision,B Transmission Rebuild,radio 5mi,frase,semrush us nacional x0.06%
transmission rebuild near me,3600,2,2.33,comercial,transmision,B Transmission Rebuild,radio 5mi,exacta+frase,semrush us nacional x0.06%
transmission replacement,3600,2,2.51,comercial,transmision,B Transmission Rebuild,radio 5mi,frase,semrush us nacional x0.06%
transmission replacement near me,720,0,3.19,comercial,transmision,B Transmission Rebuild,radio 5mi,exacta+frase,semrush us nacional x0.06%
rebuilt transmission,2900,2,1.99,mixta (pieza vs servicio): negativa 'for sale',transmision,B Transmission Rebuild,radio 5mi,frase,semrush us nacional x0.06%
transmission repair cost,5400,3,3.4,precio (comercial media),transmision,B Transmission Rebuild,radio 5mi,frase,semrush us nacional x0.06%
transmission rebuild cost,3600,2,2.82,precio (comercial media),transmision,B Transmission Rebuild,radio 5mi,frase,semrush us nacional x0.06%
transmission financing,390,0,3.96,comercial,transmision,B Transmission Rebuild,radio 5mi,frase,semrush us nacional x0.06%
transmission service near me,8100,5,3.02,comercial,transmision,C Transmission Service,radio 5mi,exacta+frase,semrush us nacional x0.06%
transmission fluid change near me,22200,13,2.49,comercial,transmision,C Transmission Service,radio 5mi,frase,semrush us nacional x0.06%
transmission flush near me,12100,7,2.61,comercial,transmision,C Transmission Service,radio 5mi,frase,semrush us nacional x0.06%
clutch repair near me,1300,1,3.33,comercial,drivetrain,D Clutch CVT Drivetrain,radio 5mi,frase,semrush us nacional x0.06%
clutch replacement near me,720,0,2.65,comercial,drivetrain,D Clutch CVT Drivetrain,radio 5mi,frase,semrush us nacional x0.06%
cvt transmission repair,1900,1,1.9,comercial,drivetrain,D Clutch CVT Drivetrain,radio 5mi,frase,semrush us nacional x0.06%
differential repair near me,9900,6,2.75,comercial,drivetrain,D Clutch CVT Drivetrain,radio 5mi,frase,semrush us nacional x0.06%
transfer case repair,590,0,2.93,comercial,drivetrain,D Clutch CVT Drivetrain,radio 5mi,frase,semrush us nacional x0.06%
4x4 repair near me,140,0,3.08,comercial,drivetrain,D Clutch CVT Drivetrain,radio 5mi,frase,semrush us nacional x0.06%
check engine light near me,40500,24,2.15,comercial,motor,F Check Engine & Engine,radio 5mi,frase,semrush us nacional x0.06%
engine repair near me,5400,3,2.72,comercial,motor,F Check Engine & Engine,radio 5mi,exacta+frase,semrush us nacional x0.06%
engine diagnostic near me,1300,1,2.97,comercial,motor,F Check Engine & Engine,radio 5mi,frase,semrush us nacional x0.06%
car diagnostic near me,4400,3,3.06,comercial,motor,F Check Engine & Engine,radio 5mi,frase,semrush us nacional x0.06%
overheating car repair,320,0,2.53,comercial,motor,F Check Engine & Engine,radio 5mi,frase,semrush us nacional x0.06%
auto repair shop near me,22200,13,3.01,comercial,general,E Auto Repair,radio 5mi,exacta+frase,semrush us nacional x0.06%
car repair near me,90500,54,2.98,comercial,general,E Auto Repair,radio 5mi,exacta+frase,semrush us nacional x0.06%
auto mechanic near me,49500,30,2.8,comercial,general,E Auto Repair,radio 5mi,frase,semrush us nacional x0.06%
car mechanic near me,40500,24,2.58,comercial,general,E Auto Repair,radio 5mi,frase,semrush us nacional x0.06%
mechanic near me,673000,404,2.8,"comercial (volumen alto, controlar)",general,E Auto Repair,radio 5mi,frase,semrush us nacional x0.06%
auto shop near me,165000,99,2.83,comercial (CPA alto en benchmark),general,E Auto Repair,radio 5mi,frase,semrush us nacional x0.06%
car ac repair near me,22200,13,3.01,comercial,ac,G Car AC (Fase 3),radio 5mi,frase,semrush us nacional x0.06%
auto ac repair near me,18100,11,3.01,comercial,ac,G Car AC (Fase 3),radio 5mi,frase,semrush us nacional x0.06%
brake repair near me,135000,81,3.55,comercial (cadenas dominan),frenos,Fase 3 (otros servicios),radio 5mi,frase,semrush us nacional x0.06%
radiator repair near me,74000,44,2.88,comercial,otros,Fase 3 (otros servicios),radio 5mi,frase,semrush us nacional x0.06%
alternator repair near me,5400,3,2.3,comercial,electrico,Fase 3 (otros servicios),radio 5mi,frase,semrush us nacional x0.06%
auto electrical repair near me,4400,3,2.31,comercial,electrico,Fase 3 (otros servicios),radio 5mi,frase,semrush us nacional x0.06%
