keyword,vol_nwa_est,cpc_us,intencion,ad_group,ciudad,match,fase_o_decision,nota
electrician near me,440,,comercial,Electrician - NWA General,,EXACT,F1,
electricians near me,109,,comercial,Electrician - NWA General,,EXACT,F1,
electrician,660,,comercial,Electrician - NWA General,,EXACT,F1,
electricians,0,,comercial,Electrician - NWA General,,EXACT,F1,
local electrician,40,,comercial,Electrician - NWA General,,EXACT,F1,
electrician near me,0,,comercial,Electrician - NWA General,,PHRASE,F1,
electricians near me,0,,comercial,Electrician - NWA General,,PHRASE,F1,
local electrician,0,,comercial,Electrician - NWA General,,PHRASE,F1,
licensed electrician,40,,comercial,Electrician - NWA General,,PHRASE,F1,
residential electrician,33,,comercial,Electrician - NWA General,,PHRASE,F1,
electrical contractor near me,15,,comercial,Electrician - NWA General,,PHRASE,F1,
electrical company near me,4,,comercial,Electrician - NWA General,,PHRASE,F1,
electrician open now,0,,comercial,Electrician - NWA General,,PHRASE,F1,
home electrician,0,,comercial,Electrician - NWA General,,PHRASE,F1,
electrician northwest arkansas,40,,comercial,Electrician - NWA General,,PHRASE,F1,
electrician nwa,30,,comercial,Electrician - NWA General,,PHRASE,F1,
nwa electrician,0,,comercial,Electrician - NWA General,,PHRASE,F1,
electrician bella vista,30,,comercial,Electrician - NWA General,bella vista,PHRASE,F1,
electrician lowell,10,,comercial,Electrician - NWA General,lowell,PHRASE,F1,
electrician centerton,20,,comercial,Electrician - NWA General,centerton,PHRASE,F1,
electrician cave springs,0,,comercial,Electrician - NWA General,cave springs,PHRASE,F1,
electrician pea ridge,0,,comercial,Electrician - NWA General,pea ridge,PHRASE,F1,
electrician farmington ar,0,,comercial,Electrician - NWA General,farmington,PHRASE,F1,
electrician prairie grove,0,,comercial,Electrician - NWA General,prairie grove,PHRASE,F1,
electrician west fork,0,,comercial,Electrician - NWA General,west fork,PHRASE,F1,
electrician tontitown,0,,comercial,Electrician - NWA General,tontitown,PHRASE,F1,
electrician huntsville ar,0,,comercial,Electrician - NWA General,huntsville,PHRASE,F1,
electrician fayetteville ar,140,,comercial,Electrician - Fayetteville,fayetteville,EXACT,F1,
electricians fayetteville ar,50,,comercial,Electrician - Fayetteville,fayetteville,EXACT,F1,
electrician fayetteville,70,,comercial,Electrician - Fayetteville,fayetteville,EXACT,F1,
electrician fayetteville,0,,comercial,Electrician - Fayetteville,fayetteville,PHRASE,F1,
electricians fayetteville,0,,comercial,Electrician - Fayetteville,fayetteville,PHRASE,F1,
electricians in fayetteville,20,,comercial,Electrician - Fayetteville,fayetteville,PHRASE,F1,
fayetteville electrician,0,,comercial,Electrician - Fayetteville,fayetteville,PHRASE,F1,
fayetteville ar electrician,0,,comercial,Electrician - Fayetteville,fayetteville,PHRASE,F1,
electrician rogers ar,90,,comercial,Electrician - Rogers,rogers,EXACT,F1,
electrician rogers,50,,comercial,Electrician - Rogers,rogers,EXACT,F1,
electricians rogers ar,40,,comercial,Electrician - Rogers,rogers,EXACT,F1,
electrician rogers,0,,comercial,Electrician - Rogers,rogers,PHRASE,F1,
electricians rogers,0,,comercial,Electrician - Rogers,rogers,PHRASE,F1,
electricians in rogers,0,,comercial,Electrician - Rogers,rogers,PHRASE,F1,
rogers electrician,0,,comercial,Electrician - Rogers,rogers,PHRASE,F1,
rogers ar electrician,0,,comercial,Electrician - Rogers,rogers,PHRASE,F1,
electrician springdale ar,70,,comercial,Electrician - Springdale,springdale,EXACT,F1,
electrician springdale,50,,comercial,Electrician - Springdale,springdale,EXACT,F1,
electrician springdale,0,,comercial,Electrician - Springdale,springdale,PHRASE,F1,
electricians springdale,0,,comercial,Electrician - Springdale,springdale,PHRASE,F1,
electricians in springdale,0,,comercial,Electrician - Springdale,springdale,PHRASE,F1,
springdale electrician,0,,comercial,Electrician - Springdale,springdale,PHRASE,F1,
springdale ar electrician,0,,comercial,Electrician - Springdale,springdale,PHRASE,F1,
electrician bentonville ar,40,,comercial,Electrician - Bentonville,bentonville,EXACT,F1,
electrician bentonville,40,,comercial,Electrician - Bentonville,bentonville,EXACT,F1,
electricians bentonville ar,30,,comercial,Electrician - Bentonville,bentonville,EXACT,F1,
electrician bentonville,0,,comercial,Electrician - Bentonville,bentonville,PHRASE,F1,
electricians bentonville,0,,comercial,Electrician - Bentonville,bentonville,PHRASE,F1,
electricians in bentonville,0,,comercial,Electrician - Bentonville,bentonville,PHRASE,F1,
bentonville electrician,0,,comercial,Electrician - Bentonville,bentonville,PHRASE,F1,
bentonville ar electrician,0,,comercial,Electrician - Bentonville,bentonville,PHRASE,F1,
electrical repair near me,22,,comercial,Electrical Repair,,EXACT,F1,
circuit breaker repair,12,,comercial,Electrical Repair,,EXACT,F1,
outlet repair,3,,comercial,Electrical Repair,,EXACT,F1,
electrical repair,22,,comercial,Electrical Repair,,PHRASE,F1,
electrician repair,0,,comercial,Electrical Repair,,PHRASE,F1,
circuit breaker repair,0,,comercial,Electrical Repair,,PHRASE,F1,
circuit breaker replacement,49,,comercial,Electrical Repair,,PHRASE,F1,
breaker replacement,0,,comercial,Electrical Repair,,PHRASE,F1,
outlet repair,0,,comercial,Electrical Repair,,PHRASE,F1,
outlet installation near me,1,,comercial,Electrical Repair,,PHRASE,F1,
electrical troubleshooting,5,,comercial,Electrical Repair,,PHRASE,F1,
electrical wiring repair,2,,comercial,Electrical Repair,,PHRASE,F1,
wiring repair,0,,comercial,Electrical Repair,,PHRASE,F1,
lighting repair near me,1,,comercial,Electrical Repair,,PHRASE,F1,
electrical panel upgrade,22,,comercial,Electrical Panel Upgrade,,EXACT,F2 (pausado hasta landing),
electrical panel replacement,15,,comercial,Electrical Panel Upgrade,,EXACT,F2 (pausado hasta landing),
breaker box replacement,3,,comercial,Electrical Panel Upgrade,,EXACT,F2 (pausado hasta landing),
